tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,formula,i,y,MOT,2112800_2114590, ,NA
*OLF,sandwich,d,n,FAT,2132640_2133880, ,NA
*FAN,picture,i,n,FAT,2434610_2435630, ,NA
*MAN,picture,i,n,FAT,2507520_2508520, ,NA
*MAN,picture,d,n,FAT,2516440_2517440, ,NA
*FAN,mouth,q,n,MOT,2714520_2716520, ,NA
*FAN,mouth,i,n,MOT,2714520_2716520, ,NA
*OLF,mouth,i,n,MOT,2719300_2720760, ,NA
*MAN,Slip+n+slide,d,n,FAT,2739650_2743010, ,NA
*SIL,pool,d,n,FAT,2743010_2743980, ,NA
*FAN,laundry,i,n,MOT,2983210_2984210, ,NA
*CXN,fox,d,n,FAT,3035410_3036010, ,NA
*MAN,fox,d,n,FAT,3039430_3040700, ,NA
*CXN,Tv,d,n,SI2,3156390_3157050, ,NA
*MAN,Tv,d,n,FAT,3158050_3159060, ,NA
*OLN,Tv,d,n,SI2,3162000_3163440, ,NA
*MAN,hair,i,n,FAT,3379820_3380820, ,NA
*MAN,soap,d,n,FAT,3391390_3393110, ,NA
*MAN,hair,d,n,FAT,3391390_3393110, ,NA
*MAN,hair,d,n,FAT,3402010_3403360, ,NA
*MAN,body,d,n,FAT,3405620_3406620, ,NA
*MAN,hair,d,n,FAT,3410060_3411100, ,NA
*MAN,body,d,n,FAT,3410060_3411100, ,NA
*OLN,soap,d,n,FAT,3413190_3414790, ,NA
*OLN,hair,d,n,FAT,3413190_3414790, ,NA
*MAN,cupcakes,q,n,FAT,3421630_3423210, ,NA
*MAN,face,d,n,FAT,3427970_3429610, ,NA
*MAN,soap,d,n,FAT,3438580_3440870, ,NA
*MAN,baby+soap,d,n,FAT,3438580_3440870, ,NA
*MAF,hair,i,n,FAT,3460030_3461030, ,NA
*MAN,soap,d,n,FAT,3481690_3482690, ,NA
*CHN,towel,n,y,FAT,3574230_3575560, ,NA
*OLN,comb,i,n,MOT,3578700_3582170, ,NA
*OLN,clothes,d,n,MOT,3589210_3590100, ,NA
*FAN,door,i,n,FAT,3616580_3617820, ,NA
*FAN,towel,d,n,MOT,3637790_3639670, ,NA
*FAN,bed,i,y,MOT,3707320_3708970, ,NA
*OLN,hair,d,y,MOT,3749320_3751650, ,NA
*CXN,foxes,q,n,BR1,3813110_3815100, ,NA
*CXN,cats,q,n,BR1,3813110_3815100, ,NA
*OLN,dog,d,n,MOT,3816580_3818760, ,NA
*CXN,dog,d,n,BR1,3823840_3824700, ,NA
*FAN,monkeys,d,n,MOT,3835830_3838560, ,NA
*FAN,water,i,n,MOT,3893540_3899850, ,NA
*FAN,towel,q,n,FAT,3893540_3899850, ,NA
*FAN,clothes,i,n,MOT,3911670_3915230, ,NA
*FAN,clothes,i,n,MOT,3938740_3939740, ,NA
*CXN,towel,d,n,BR2,3940610_3943270, ,NA
*CXN,towel,d,n,BR2,3940610_3943270, ,NA
*CXN,towel,d,n,BR2,3945940_3947640, ,NA
*CXN,towel,d,n,BR2,3948660_3950470, ,NA
*FAN,clothes,s,n,MOT,3950470_3953100, ,NA
*FAN,clothes,d,n,MOT,3954960_3956490, ,NA
*MAN,door,d,y,FAT,4243530_4245290, ,NA
*MAN,baby,d,y,FAT,4246550_4247550, ,NA
*FAN,mouth,d,n,MOT,4370860_4371660, ,NA
*OLN,mouth,q,y,MOT,4379140_4383380, ,NA
*FAN,food,d,y,MOT,4385290_4386290, ,NA
*MAN,clothes,d,y,FAT,4460710_4462480, ,NA
*MAN,clothes,q,y,FAT,4466270_4467510, ,NA
*FAN,underwear,d,y,MOT,4599910_4601590, ,NA
*MAN,shorts,d,y,MOT,4601590_4602670, ,NA
*MAN,windows,d,n,FAT,4735750_4736620, ,NA
*FAN,laundry,d,n,MOT,4891480_4892690, ,NA
*CHN,wings,s,n,FAT,5024040_5025670, ,NA
*MAN,legs,q,y,FAT,5041820_5043840, ,NA
*OLN,cereal,q,n,FAT,5187120_5188640, ,NA
