tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,eyes,q,y,MOT,934260_935480, ,NA
*OLN,ball,n,y,CHI,1031490_1032099, ,NA
*MAF,ball,d,y,MOT,1032099_1033099, ,NA
*OLF,ball,n,y,CHI,1034609_1035650, ,NA
*SIL,ball,d,y,MOT,1035650_1036910, ,NA
*FAF,ball,n,y,MOT,1037930_1038930, ,NA
*CXF,ball,n,y,MOT,1039880_1040760, ,NA
*OLN,ball,n,y,CHI,1041970_1042770, ,NA
*FAN,ball,n,y,MOT,1051860_1052460, ,NA
*CXN,ball,n,y,MOT,1055410_1056410, ,NA
*FAF,stairs,i,y,MOT,1084050_1085050, ,NA
*MAN,ring,d,y,MOT,1137440_1138440, ,NA
*TVF,cereal,d,y,AD10,1507280_1508280, ,NA
*OLN,milk,i,y,MOT,1881090_1881930, ,NA
*FAN,candles,q,n,MOT,1917610_1918610, ,NA
*FAN,ball,q,y,MOT,1932500_1933560, ,NA
*CHN,ball,n,n,CHI,1970040_1970250, ,NA
*OLN,ball,q,n,MOT,1972840_1973790, ,NA
*OLN,crab,d,y,MOT,1981520_1982330, ,NA
*OLN,Mr+crab,i,y,MOT,1985130_1986030, ,NA
*FAN,oyster,d,y,MOT,1990020_1991470, ,NA
*OLN,oyster,n,y,MOT,1996080_1996880, ,NA
*MAF,yogurt,d,n,MOT,2132380_2133440, ,NA
*OLN,yogurt,d,n,MOT,2135140_2136440, ,NA
*MAN,coffee,d,y,MOT,2179740_2181050, ,NA
*MAN,chair,d,y,MOT,2227220_2228980, ,NA
*FAN,yogurt,d,n,MOT,2228980_2230000, ,NA
*FAF,yogurt,d,n,MOT,2286460_2287060, ,NA
*FAF,yogurt,d,y,MOT,2288840_2290330, ,NA
*FAF,coffee,n,y,MOT,2512780_2513780, ,NA
*FAF,yogurt,q,y,MOT,2525210_2527750, ,NA
*MAF,tractor,d,y,MOT,2610130_2611130, ,NA
*FAF,tractor,q,y,MOT,2612300_2613340, ,NA
*FAF,tractor,q,y,MOT,2623220_2624220, ,NA
*MAN,tractor,q,y,MOT,2638600_2639880, ,NA
*OLN,ball,n,y,CHI,2660670_2661730, ,NA
*OLF,ball,d,y,MOT,2661730_2664670, ,NA
*OLF,tractor,n,y,MOT,2667270_2668210, ,NA
*OLN,tractor,q,y,MOT,2669460_2670600, ,NA
*OLN,tractor,q,y,MOT,2671210_2673120, ,NA
*OLN,dump+truck,q,y,MOT,2674170_2675510, ,NA
*FAN,dump+truck,q,y,MOT,2676630_2677660, ,NA
*FAN,dump+truck,q,y,MOT,2680100_2681180, ,NA
*MAF,airplane,q,y,MOT,2796940_2797940, ,NA
*CXN,sheep,s,n,TOY,2994660_2995820, ,NA
*CXN,wool,q,n,TOY,2996810_2998390, ,NA
*CXN,cow,n,y,TOY,3020230_3021410, ,NA
*CXN,cow,n,y,TOY,3026270_3027690, ,NA
*OLN,cow,n,y,TOY,3029640_3030510, ,NA
*CXN,cat,s,n,TOY,3035050_3036670, ,NA
*CXN,fiddle,s,n,TOY,3036670_3037270, ,NA
*OLN,cow,s,y,TOY,3037270_3038070, ,NA
*OLN,moon,s,n,TOY,3039270_3040790, ,NA
*OLN,dog,s,n,TOY,3041390_3044120, ,NA
*OLN,dish,s,n,TOY,3044920_3048680, ,NA
*OLN,spoon,s,n,TOY,3044920_3048680, ,NA
*CXN,cat,s,n,TOY,3066620_3068950, ,NA
*OLN,fiddle,s,n,TOY,3068950_3070780, ,NA
*OLN,cow,s,n,TOY,3068950_3070780, ,NA
*OLN,moon,s,n,TOY,3071580_3072380, ,NA
*CXN,dog,s,n,TOY,3073430_3074470, ,NA
*OLN,dish,s,n,TOY,3076360_3078010, ,NA
*CXN,spoon,s,n,TOY,3078010_3079150, ,NA
*CXN,lights,d,y,TOY,3084180_3085570, ,NA
*CXN,lights,d,y,TOY,3085570_3086950, ,NA
*FAN,lights,d,y,TOY,3110890_3112430, ,NA
*CHN,lights,d,y,TOY,3115540_3115870, ,NA
*OLN,fireflies,s,n,TOY,3144530_3146120, ,NA
*FAN,dragonflies,s,n,TOY,3146120_3147120, ,NA
*OLN,fireflies,s,n,TOY,3149470_3150980, ,NA
*OLN,lightning+bugs,s,n,TOY,3149470_3150980, ,NA
*OLN,ants,s,n,TOY,3153560_3155010, ,NA
*OLN,ladybugs,s,n,TOY,3153560_3155010, ,NA
*OLN,bugs,s,n,TOY,3155650_3159330, ,NA
*MAF,cars,q,n,MOT,3161780_3162850, ,NA
*OLF,cars,d,n,MOT,3164820_3165620, ,NA
*FAN,cars,q,n,MOT,3171520_3172280, ,NA
*FAN,cars,q,n,MOT,3173940_3174940, ,NA
*MAF,tiger,q,y,MOT,3180860_3181860, ,NA
*OLN,Sheep+in+the+jeep,q,y,MOT,3613910_3615120, ,NA
*FAN,Sheep+in+a+jeep,r,y,MOT,3616980_3619850, ,NA
*FAN,sheep,r,y,MOT,3625130_3627930, ,NA
*FAN,jeep,r,y,MOT,3625130_3627930, ,NA
*FAN,hill,r,y,MOT,3625130_3627930, ,NA
*FAN,jeep,r,y,MOT,3630590_3631730, ,NA
*FAN,sheep,r,y,MOT,3633530_3635580, ,NA
*FAN,jeep,r,y,MOT,3633530_3635580, ,NA
*FAN,sheep,r,y,MOT,3637490_3639120, ,NA
*FAN,sheep,r,y,MOT,3637490_3639120, ,NA
*FAN,sheep,r,y,MOT,3640180_3641960, ,NA
*FAN,jeep,r,y,MOT,3647210_3650080, ,NA
*FAN,jeep,r,y,MOT,3647210_3650080, ,NA
*FAN,jeep,r,y,MOT,3650880_3652170, ,NA
*MAN,mud,r,y,MOT,3652170_3653380, ,NA
*FAN,sheep,r,y,MOT,3654380_3655520, ,NA
*FAN,sheep,r,y,MOT,3658920_3659920, ,NA
*FAN,sheep,r,y,MOT,3660720_3662600, ,NA
*OLN,sheep,r,y,MOT,3664200_3665870, ,NA
*FAN,jeep,r,y,MOT,3669190_3671790, ,NA
*FAN,sheep,r,y,MOT,3669190_3671790, ,NA
*FAN,sheep,r,y,MOT,3672660_3675500, ,NA
*FAN,sheep,r,y,MOT,3676300_3678020, ,NA
*FAN,jeep,r,y,MOT,3679710_3680720, ,NA
*FAN,heap,r,y,MOT,3679710_3680720, ,NA
*CXN,sheep,r,y,MOT,3681320_3682920, ,NA
*FAN,sheep,r,y,MOT,3684620_3686020, ,NA
*FAN,heap,r,y,MOT,3684620_3686020, ,NA
*FAN,jeep,r,y,MOT,3687770_3689390, ,NA
*FAN,cars,r,y,MOT,3716290_3717490, ,NA
*FAN,trucks,r,y,MOT,3716290_3717490, ,NA
*FAN,planes,r,y,MOT,3718290_3720170, ,NA
*FAN,trains,r,y,MOT,3718290_3720170, ,NA
*FAF,skateboard,d,y,MOT,3729600_3730600, ,NA
*FAN,skateboard,n,y,MOT,3731400_3732600, ,NA
*FAN,school+bus,r,y,MOT,3738450_3739550, ,NA
*FAN,flaps,q,y,MOT,3748640_3750990, ,NA
*FAN,ice+cream+truck,d,y,MOT,3748640_3750990, ,NA
*FAN,garbage+truck,d,y,MOT,3751990_3753050, ,NA
*FAN,van,d,y,MOT,3758550_3759550, ,NA
*MAN,helicopter,d,y,MOT,3771120_3772160, ,NA
*FAN,train,d,y,MOT,3779100_3780490, ,NA
*FAN,train,q,y,MOT,3779100_3780490, ,NA
*FAN,car,q,y,MOT,3793920_3795010, ,NA
*FAN,car,q,y,MOT,3797090_3797830, ,NA
*FAN,dump+truck,q,y,MOT,3801330_3803720, ,NA
*FAN,dump+truck,q,y,MOT,3801330_3803720, ,NA
*MAN,police+car,d,y,MOT,3806340_3807340, ,NA
*FAN,fire+truck,n,y,MOT,3812680_3814650, ,NA
*MAN,boats,d,y,MOT,3818960_3819960, ,NA
*FAN,zoo,r,y,MOT,3835150_3836290, ,NA
