tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*MAN,beets,d,n,FAT,20701690_20704110, ,NA
*CHN,wader,n,n,CHI,20731240_20732050, ,NA
*MAN,water,d,n,FAT,20732870_20734200, ,NA
*MAN,water,q,y,FAT,20791390_20792910, ,NA
*OLN,falafel,n,n,GRM,20815000_20823050, ,NA
*OLN,falafel,n,n,GRA,20815000_20823050, ,NA
*MAN,food,d,n,MOT,20823050_20824060, ,NA
*MAN,chickpeas,d,n,FAT,20824860_20827240, ,NA
*MAN,hummus,d,n,FAT,20824860_20827240, ,NA
*MAN,falafel,d,n,MOT,20828650_20829650, ,NA
*MAN,plates,q,n,FAT,20871290_20872290, ,NA
*FAN,napkins,d,n,MOT,20872290_20873180, ,NA
*OLN,beer,q,n,MOT,20885200_20888340, ,NA
*OLN,cider,q,n,MOT,20885200_20888340, ,NA
*MAN,food,d,n,MOT,20890300_20892020, ,NA
*MAN,waters,q,n,FAT,20892850_20894780, ,NA
*MAN,water,q,n,FAT,20895880_20899980, ,NA
*MAN,water,q,n,FAT,20900840_20904390, ,NA
*CHN,beet,n,y,CHI,20946340_20946920, ,NA
*FAN,beets,d,y,MOT,20947170_20949940, ,NA
*FAN,beets,q,y,GP2,20947170_20949940, ,NA
*MAN,bib,q,y,FAT,20992330_20993380, ,NA
*OLN,bib,d,y,FAT,20993380_20994760, ,NA
*MAN,sauce,d,n,FAT,21078770_21080540, ,NA
*MAN,falafel,d,y,FAT,21120180_21123160, ,NA
*OLN,water,n,n,CHI,21290800_21291600, ,NA
*MAN,water,q,n,FAT,21292200_21293280, ,NA
*OLN,water,n,n,CHI,21313230_21314440, ,NA
*MAN,water,d,y,FAT,21315070_21318560, ,NA
*MAN,beets,q,y,FAT,21384120_21385120, ,NA
*MAN,bib,q,y,FAT,21390920_21392760, ,NA
*MAN,fork,q,n,FAT,21405350_21408130, ,NA
*MAN,beets,q,n,FAT,21405350_21408130, ,NA
*MAN,hummus,d,y,FAT,21410580_21413500, ,NA
*CHN,water,n,n,CHI,21545600_21546380, ,NA
*OLN,water,n,n,CHI,21547600_21549480, ,NA
*MAN,water,q,n,FAT,21549480_21550490, ,NA
*MAN,water,q,n,FAT,21578100_21579110, ,NA
