tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*CXN,toys,q,y,MOT,958260_959120, ,NA
*FAN,recorder,q,y,MOT,975170_977200, ,NA
*FAN,phone,q,n,MOT,975170_977200, ,NA
*FAN,mouth,i,y,MOT,979360_980580, ,NA
*FAN,bottle,d,y,MOT,989070_991070, ,NA
*FAN,bottle,d,y,MOT,992490_995170, ,NA
*FAN,mouth,i,y,MOT,998100_999830, ,NA
*FAN,vest,d,y,MOT,1007370_1008370, ,NA
*FAN,vest,d,y,MOT,1030579_1031740, ,NA
*FAF,bottle,d,y,MOT,1044040_1045220, ,NA
*FAN,vest,i,y,MOT,1078270_1079270, ,NA
*FAN,vest,i,y,MOT,1082620_1084700, ,NA
*FAN,bottle,d,n,MOT,1128450_1129450, ,NA
*FAF,bottle,d,n,MOT,1174450_1176380, ,NA
*FAN,baba,q,y,MOT,1317560_1318790, ,NA
*FAN,babas,i,y,MOT,1400820_1403280, ,NA
*FAN,ball,d,y,MOT,1404080_1405080, ,NA
*FAF,ball,d,y,MOT,1411130_1412580, ,NA
*FAN,ball,q,y,MOT,1681030_1682030, ,NA
*FAN,ball,q,y,MOT,1684690_1685880, ,NA
*FAN,dinosaur+train,s,n,MOT,1931150_1932150, ,NA
*MAN,dinosaur+train,s,n,MOT,1933950_1935050, ,NA
*OLF,floor,q,n,MOT,2303440_2304380, ,NA
*FAN,floor,q,n,MOT,2312780_2313900, ,NA
*FAN,cargo+van,d,n,MOT,2374730_2377040, ,NA
*FAN,milk,q,n,MOT,2507560_2509490, ,NA
*FAN,cargo+van,d,n,MOT,2517930_2520090, ,NA
*NOF,phone,d,n,MOT,2541910_2542710, ,NA
*FAN,bus,i,y,MOT,2573150_2574530, ,NA
*FAN,bus,i,y,MOT,2574530_2575150, ,NA
*FAN,bus,s,y,MOT,2575150_2576150, ,NA
*FAN,bus,i,y,MOT,2578280_2579540, ,NA
*FAN,bus,i,y,MOT,2580550_2582290, ,NA
*FAN,bite,d,y,MOT,2600510_2601510, ,NA
*OLF,face,d,y,MOT,2601510_2602310, ,NA
*SIL,face,d,y,MOT,2603630_2606170, ,NA
*FAN,button,d,y,MOT,2745830_2746830, ,NA
*FAN,George,n,y,MOT,2836510_2838080, ,NA
*FAN,feet,d,y,MOT,2891840_2893330, ,NA
*FAN,feet,d,y,MOT,2906250_2909440, ,NA
*MAN,leg,d,y,MOT,3288650_3289770, ,NA
*MAN,legs,d,y,MOT,3302890_3303940, ,NA
*FAN,legs,n,y,MOT,3303940_3305100, ,NA
*FAN,legs,n,y,MOT,3303940_3305100, ,NA
*OLN,milk,q,n,MOT,3314300_3315160, ,NA
*OLN,baby,q,y,MOT,3332390_3333700, ,NA
*FAN,baby,q,y,MOT,3333700_3335720, ,NA
*FAN,baby,q,y,MOT,3344060_3345930, ,NA
*OLN,baby,n,y,MOT,3348280_3349130, ,NA
*MAN,baby,n,y,MOT,3350790_3351790, ,NA
*CXN,baby,n,y,MOT,3352820_3353840, ,NA
*OLN,baby,n,y,MOT,3356000_3357950, ,NA
*MAN,baby,n,n,MOT,3371710_3373310, ,NA
*FAN,baby,n,n,MOT,3376000_3377770, ,NA
*MAN,baby,n,n,MOT,3388500_3389750, ,NA
*MAN,baby,n,n,MOT,3391230_3392240, ,NA
*FAN,baby,d,y,MOT,3395040_3396070, ,NA
*MAN,baby,i,y,MOT,3406900_3408020, ,NA
*OLN,baby,d,y,MOT,3412880_3414440, ,NA
*OLN,milk,q,y,MOT,3422030_3428120, ,NA
*OLN,milk,i,y,MOT,3422030_3428120, ,NA
*OLN,milk,i,y,MOT,3422030_3428120, ,NA
*CHN,doggy,n,y,CHI,3609690_3610380, ,NA
*OLN,doggy,n,y,CHI,3610460_3611420, ,NA
*CHN,doggy,n,y,MOT,3612530_3613130, ,NA
*CHN,dog,n,y,CHI,3615090_3615390, ,NA
*CHN,doggy,n,y,CHI,3618310_3619360, ,NA
*FAN,doggy,d,y,MOT,3622630_3624490, ,NA
*FAN,dog,n,y,MOT,3626990_3628000, ,NA
*FAN,dog,n,y,MOT,3629420_3631140, ,NA
*CHN,dog,n,y,CHI,3631140_3631640, ,NA
*FAN,dog,q,y,MOT,3652720_3653820, ,NA
*CHN,doggy,n,y,CHI,3654820_3655230, ,NA
