tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*CXN,eyeballs,d,n,BRO,363750_365630, ,NA
*FAN,Cheerios,q,y,MOT,1052820_1053820, ,NA
*OLN,Cheerios,d,y,MOT,1058670_1060610, ,NA
*MAN,cameras,q,n,FAT,2053199_2056590, ,NA
*FAN,documents,d,n,MOT,2056590_2059130, ,NA
*MAN,microwave,d,n,MOT,2059130_2060940, ,NA
*FAN,dog,d,n,MOT,2146870_2147980, ,NA
*FAN,dogs,d,n,MOT,2158420_2159560, ,NA
*OLN,drawer,q,n,MOT,2327840_2328710, ,NA
*FAN,basket,d,n,MOT,2373710_2374910, ,NA
*FAN,basket,d,n,MOT,2377930_2378970, ,NA
*MAN,laundry,d,n,MOT,2378970_2379970, ,NA
*FAN,dresser,d,n,MOT,2379970_2383150, ,NA
*FAN,dresser,d,n,MOT,2397900_2400720, ,NA
*FAN,basket,d,n,MOT,2400720_2401440, ,NA
*FAN,clothes,d,n,MOT,2401440_2402960, ,NA
*FAN,basket,d,n,MOT,2402960_2403620, ,NA
*MAF,clothes,d,n,MOT,2405040_2406040, ,NA
*OLN,laundry,d,n,MOT,2407540_2408140, ,NA
*FAN,bed,d,n,BRO,2692140_2693640, ,NA
*OLN,bed,d,n,MOT,2694620_2696030, ,NA
*OLN,bed,q,n,SIS,2886980_2887810, ,NA
*CXN,bed,d,n,SIS,2897590_2901180, ,NA
*FAN,bed,d,n,MOT,2901180_2902400, ,NA
*FAN,bed,i,n,MOT,2907980_2909130, ,NA
*OLN,bed,i,n,SIS,2945920_2946720, ,NA
*FAN,onesie,d,n,MOT,3392080_3394690, ,NA
*FAN,chair,d,y,MOT,3416030_3418530, ,NA
*CXN,poop,d,n,SIS,3507440_3508440, ,NA
*FAN,poop,d,n,MOT,3509440_3510040, ,NA
*CXF,poop,d,n,SIS,3524330_3525140, ,NA
*CXN,diaper,d,y,SIS,3527250_3528470, ,NA
*CXN,diaper,d,y,SIS,3532450_3533690, ,NA
*FAN,leg,d,n,MOT,3550150_3552660, ,NA
*CXN,clothes,i,n,MOT,3562560_3563870, ,NA
*CXN,pocket,q,n,SIS,3647280_3648700, ,NA
*FAN,pocket,d,n,MOT,3648700_3650110, ,NA
*FAN,potty,q,n,MOT,3706270_3709140, ,NA
*MAN,apple,d,y,FAT,3745270_3746270, ,NA
*MAN,steps,q,n,FAT,3795850_3797080, ,NA
*MAN,apple,q,n,FAT,3808540_3809540, ,NA
*MAN,table,n,n,FAT,4054410_4056010, ,NA
*MAN,table,i,n,FAT,4054410_4056010, ,NA
*FAN,puzzle+pieces,q,n,BRO,4399370_4401050, ,NA
*CXN,apple,q,n,SIS,5118520_5119990, ,NA
*FAN,floor,d,n,MOT,5322260_5323960, ,NA
*FAN,wood+floor,d,n,MOT,5328690_5331690, ,NA
*FAN,bed,i,n,MOT,5790250_5792770, ,NA
*FAN,bed,i,n,MOT,5790250_5792770, ,NA
*FAN,bed,d,n,MOT,5795510_5798100, ,NA
*FAN,berries,d,n,MOT,10699660_10701020, ,NA
*FAN,milk,d,y,MOT,10782140_10783390, ,NA
